"id","file","line_or_section","claim","severity","verdict","citation_keys","evidence_class","evidence_path","assessment","minimum_safe_fix","status"
"EXT-011","SI_R582.tex","DFT methods","CP2K, PBE, D3(BJ), MOLOPT, GTH and counterpoise methods have complete primary-method citations.","INFO","PASS","Kuhne2020CP2K; VandeVondele2005Quickstep; Perdew1996PBE; Grimme2010D3; Grimme2011D3BJ; VandeVondele2007MOLOPT; Goedecker1996GTH; Hartwigsen1998GTH; Krack2005GTHPBE; Boys1970Counterpoise","external-method","manuscript/refs.bib","The manuscript also bounds the outputs as finite dry calculations, not solution free energies or nucleation barriers.","None.","CLOSED"
"EXT-012","SI_R582.tex","MD setup methods","GROMACS, SPC/E, ion parameters, Packmol and ECC are cited at first methodological use.","INFO","PASS","Abraham2015GROMACS; Berendsen1987SPCE; Joung2008Ions; Martinez2009Packmol; Leontyev2009ECC","external-method","manuscript/refs.bib","Standard method citations are not presented as validation of project-specific polyhalide analogue parameters.","None.","CLOSED"
"EXT-013","SI_R582.tex","xTB/solvation methods","GFN2-xTB and ALPB-water have separate primary-method citations.","INFO","PASS","Bannwarth2019GFN2xTB; Ehlert2021ALPB","external-method","manuscript/refs.bib","The absolute polyhalide parameterization remains labeled high-uncertainty.","None.","CLOSED"
"EXT-014","SI_R582.tex","thermostat/barostat/electrostatics methods","V-rescale, C-rescale and PME are cited where used.","INFO","PASS","Bussi2007VRescale; Bernetti2020CRescale; Essmann1995PME","external-method","manuscript/refs.bib","Original method sources are present and metadata-verified.","None.","CLOSED"
"EXT-015","main_R582.tex; SI_R582.tex","derivative estimator","Savitzky-Golay filtering is correctly cited and interpreted.","INFO","PASS","Savitzky1964","external-method","manuscript/refs.bib","Window variation is labeled estimator sensitivity, not a confidence interval.","None.","CLOSED"
"EXT-016","main_R582.tex","external dissolution comparison","External iodine dissolution kinetics are used only as conditional directional/scale context.","INFO","PASS","Zhao2022","external-literature","manuscript/refs.bib","The source is not claimed to determine the sustainable-current ceiling of the present electrolyte.","None.","CLOSED"
"EXT-017","main_R582.tex","proposed validation paragraph","UV-vis and EIS precedents support a proposed validation route for dissolved I3- and interfacial impedance.","INFO","PASS","ZnNC_AEL2025; WangNatCommun2025PSI; Jang2021","external-literature","manuscript/refs.bib","The text proposes measurements in related systems and does not claim that current model states are experimentally validated.","None.","CLOSED"
"EXP-001","main_R582.tex; SI_R582.tex","main:60; SI:97-99","Files labeled NH4Cl are in fact NH4Br, while raw filenames, bytes and hashes remain unchanged.","INFO","PASS","","internal-experiment-metadata","battery_experiment/02_processed_data; EXP-META-001","The only two active-TeX NH4Cl tokens are explicit correction notes; all 19 active figure PDFs are free of NH4Cl. ZIFB positive-electrode physics remains the manuscript focus; NH4Br is only a representative supporting electrolyte/ligand.","Carry EXP-META-001 into the immutable release without renaming or altering raw files.","CLOSED-SCIENCE/RELEASE-PENDING"
"CAL-001","main_R582.tex; SI_R582.tex","main:58,133,143; SI:137-140","Derivative landmarks did not set Qs/Qf, and the overlay is not independent validation.","INFO","PASS","","internal-calibration","manuscript/main_R582.tex; manuscript/SI_R582.tex","Qf comes from the pre-existing voltage-calibrated branch; the same full-cell record is separately used for the S6 reduced fit. The dependence is now explicit.","None.","CLOSED"
"SIM-001","main_R582.tex; SI_R582.tex","main:67; COMSOL methods","The continuum model identity and porous-flow setting are accurately reported.","INFO","PASS","","internal-simulation","battery_comsol/04_scripts/root_scripts/R522BuildNativeDarcyBrinkmanCoupling.java; manuscript/notes/project_truth.md","COMSOL 6.3.0.290, Tertiary Current Distribution/Nernst-Planck, Free and Porous Media Flow, and porous-domain flowModelType=darcian match the local evidence.","Publish model identity, hashes and study/solution/dataset metadata in the release.","CLOSED-SCIENCE/RELEASE-PENDING"
"ID-001","main_R582.tex; SI_R582.tex","main:78-86; SI:348-361,927-930","R_theta, pore transmission and native bare-area identities are not conflated.","INFO","PASS","","internal-identity","manuscript/main_R582.tex; manuscript/SI_R582.tex","R_theta=1-theta_cal; T_pore=sqrt(K/K0); A_bare/A0=R_theta*T_pore. Qf,cal is defined by mean theta_cal=0.5, not by the product reaching one half.","None.","CLOSED"
"CTRL-001","main_R582.tex; SI_R582.tex","matched accessibility control","The matched-control voltage penalty is reproducible and changes only accessibility expressions.","INFO","PASS","","internal-numerical-evidence","battery_comsol/02_outputs_core; R581 closure manifest","A 7776-element rtol=3e-4 comparison gives Qs=82.8903/82.8924, endpoint 1.7284/1.4402 V, and delta=-288.156 mV.","None.","CLOSED"
"DFT-001","main_R582.tex; SI_R582.tex; Fig. 5; Fig. S7","DFT results and captions","Single-I2 values are BSSE-corrected adsorption energies; the two-I2 compact/separated result is a separate electronic-energy diagnostic.","INFO","PASS","","internal-DFT","DFT/06_periodic_cp2k_single_i2_r514; manuscript/figures","Text, table, Fig. 5 and Fig. S7 now use consistent energy semantics. CP2K output headers support version 2026.1.","Include exact inputs, outputs, version and hashes in the immutable release.","CLOSED-SCIENCE/RELEASE-PENDING"
"MD-001","SI_R582.tex","MD methods/results","MD software identity, trajectory count and within-trajectory uncertainty language are accurate.","INFO","PASS-LOCAL","","internal-MD","MD/workspace_mirror/outputs/md_transport_soc_series/inputs/soc_series","GROMACS 2026.0-conda_forge; one 20 ns trajectory per SOC/charge parameterization; four 5 ns blocks measure within-trajectory stability and are not replicas or SEM. Exact topologies/ITPs/MDPs exist locally.","Copy the exact topology and analysis package into the immutable release.","CLOSED-SCIENCE/RELEASE-PENDING"
"SENS-001","main_R582.tex; SI_R582.tex; Fig. 6","current scan and sensitivity ranking","Censored current-scan points and cross-evidence sensitivity comparisons are stated without interpolation or false ranking.","INFO","PASS","","internal-sensitivity","battery_comsol/02_outputs_core; manuscript/figures","20/40 mA cm-2 run to Q=120; 80/120 use Q=40 window; 80 reports only Qs>40 and 120 crosses at 8.391. SI notes gamma_salt=2-4 has larger span but is an E-LIT/PRES prior.","None.","CLOSED"
"FIG-001","manuscript/figures","6 main + 13 SI active PDFs","Active figures preserve the audited scientific semantics.","INFO","PASS","","figure-semantic-QA","manuscript/figures; manuscript/audit_R582","Fig. 5c labels geometric A/A0; Fig. S7 labels relative BSSE-corrected adsorption energy; Fig. S11 separates geometric A/A0, R_theta comparator and native A_bare/A0; no active PDF contains NH4Cl.","None.","CLOSED"
"FONT-001","main_R582.pdf; SI_R582.pdf; 19 active figure PDFs","font gate","Figure and manuscript fonts match the TeX Gyre Termes manuscript family without forbidden fallbacks.","INFO","PASS","","typography-QA","manuscript/audit_R582/check_font_consistency.py; manuscript/audit_R582/R582_FINAL_FONT_GATE.json","All 21 PDFs pass: TeX Gyre Termes present; no Arial, Helvetica, DejaVu, Liberation, Calibri, Times New Roman or other unexpected figure family; all fonts embedded and subset; no Type 3 fonts. Non-empty counts are enforced in both canonical and release layouts; failures=[].","Re-run after final metadata recompilation.","CLOSED-SNAPSHOT"
"PDF-001","main_R582.pdf; SI_R582.pdf","compile gate","Frozen PDFs are fresh and compile without citation/reference/layout warnings.","INFO","PASS","","compile-QA","manuscript/main_R582.log; manuscript/SI_R582.log","Main PDF is 17 pages and SI PDF is 26 pages; each is newer than its TeX source. No undefined citation/reference, LaTeX/package warning, overfull/underfull box, missing character or oversized-float warning was found.","Recompile and re-run all gates after metadata insertion.","CLOSED-SNAPSHOT"
"REL-001","main_R582.tex; SI_R582.tex","main line 276; SI line 974","The exact planned tagged-directory URL is embedded and no repository placeholder remains.","RELEASE GATE","PLANNED-FOR-TAG","","release-metadata","manuscript/main_R582.tex; manuscript/SI_R582.tex","Both sources and PDFs point to r582-zifb-positive-electrode-reproducibility-v1/R582_PUBLICATION_REPRODUCIBILITY; no DOI is invented. The URL becomes publication-valid only after the tag resolves publicly.","Publish the approved tag/release, open the URL without a private login, and verify its commit/tree. Retain the no-DOI statement unless a DOI is actually issued.","PENDING-PUBLICATION"
"REL-002","GitHub ccyyyYyzz/ZIFB000","local candidate versus public repository","A bounded R582 README and R582-only candidate exist locally, while the target remote tag/release is not yet published.","RELEASE GATE","PENDING PUBLICATION","","release-state","github_ZIFB000_working; https://github.com/ccyyyYyzz/ZIFB000","The local README centers the porous ZIFB positive electrode and treats NH4Br only as the representative supporting electrolyte. The target tag was absent from git ls-remote at this audit snapshot.","Push/merge the approved commit, publish r582-zifb-positive-electrode-reproducibility-v1, and verify public immutable resolution.","OPEN-RELEASE"
"REL-003","main_R582.tex","lines 26-27,279,282","Author, affiliation, CRediT, funding and acknowledgement fields remain placeholders.","BLOCKER","PENDING","","human-metadata","manuscript/main_R582.tex","These fields require author confirmation and cannot be inferred from project evidence.","Authors must supply and approve the final metadata before submission.","OPEN-HUMAN"
"REL-004","local R582 publication candidate","19 active figures and provenance","The local candidate contains all 6 main and 13 SI figures, 17 source/QA bundles, renderers/manifests, and EXP-META-001.","RELEASE GATE","LOCAL PASS / TAG PENDING","","release-completeness","github_ZIFB000_working/R582_PUBLICATION_REPRODUCIBILITY","The independent verifier passes the local candidate; refreshed audit files still require one final rebuild into the candidate before publication.","Rerun the canonical builder and verifier after the audit refresh, then publish the approved snapshot.","OPEN-RELEASE"
"REL-005","local R582 publication candidate","molecular figure provenance","The local candidate contains 34 adopted single-I2 CP2K input/output/geometry identity records.","RELEASE GATE","LOCAL PASS / TAG PENDING","","release-completeness","github_ZIFB000_working/R582_PUBLICATION_REPRODUCIBILITY/molecular_simulation_identity","Exact adopted identities, versions and hashes are packaged locally without upgrading the calculations to solution free energies or nucleation kinetics.","Verify the record count and hashes from the published tag.","OPEN-RELEASE"
"REL-006","local R582 publication candidate","ten SOC/charge cases","The local candidate contains exact topology, ITP, MDP, protocol, metadata and log identities for all ten reported MD cases.","RELEASE GATE","LOCAL PASS / TAG PENDING","","release-completeness","github_ZIFB000_working/R582_PUBLICATION_REPRODUCIBILITY/molecular_simulation_identity","Local completeness and manifest checks pass; the package is not yet publicly frozen.","Verify the manifest and a representative analysis from a clean download after tag publication.","OPEN-RELEASE"
"REL-007","local R582 publication candidate","COMSOL model identity/provenance","Registered COMSOL identities, scripts, exports and the availability boundary are packaged locally; original .mph files are excluded and unchanged.","RELEASE GATE","LOCAL PASS / TAG PENDING","","release-completeness","github_ZIFB000_working/R582_PUBLICATION_REPRODUCIBILITY/continuum_model_identity","The lightweight package records COMSOL 6.3.0.290 and study/solution/dataset identities without moving original solved models.","Verify the access note and hashes from the published tag; never move or alter original .mph files.","OPEN-RELEASE"
"REL-008","main_R582.tex; SI_R582.tex","post-Data-Availability freeze","The current release-identity insertion has been recompiled, rehashed and re-audited.","FINAL RECOMPILE","PASS-CURRENT-SNAPSHOT","","release-finalization","manuscript/main_R582.log; manuscript/SI_R582.log; manuscript/audit_R582","Main/SI are 17/26 pages; logs, citation keys, DOI identity, fonts, captions, PDF freshness, hyperlinks and changed-page rendering pass for the current hashes.","If human author/disclosure metadata later changes TeX/PDF, rerun every gate and use a new versioned tag rather than moving an immutable tag.","CLOSED-SNAPSHOT"
